丈	一	ジョウ	たけ	たけ。身長しんちょう。; はかる。土地とちを測はかる。; 長ながさの単位たんい。一丈いちじょうは十尺じゅっしゃく。日本にほｎでの１丈じょうは約やく３０３センチメートル。; 老人ろうじん・長老ちょうろうなどを敬うやまって呼よぶ語ご。; 歌舞伎かぶき役者やくしゃの芸名げいめいにつける敬称けいしょう。; 助詞じょしの「たけ」「だけ」に当あてて用もちいられる字じ。	常 4級
与	一	ヨ	あた.える [外] あずか.る・くみ.する	あたえる。; くみする。力ちからをあわせる。仲間なかまになる。味方みかたになる。; ともに。いっしょに。つれだって。; 「～と」と読よみ、並列へいれつの意いを表あらわす。; 「～と」と読よみ、動作どうさの対象たいしょうを示しめす意いを表あらわす。; 「～より」と読よみ、比較ひかくの意いを表あらわす。; あずかる。かかわる。関係かんけいする。参加さんかする。; 「か」と読よみ、疑問ぎもんの意いを表あらわす。; 「や」と読よみ、反語はんごの意いを表あらわす。; 「か」「かな」と読よみ、詠嘆えいたんを表あらわす。	常 4級
丘	一	キュウ	おか	おか。小ちいさい山やま。小高こだかい地形ちけい。; つか。はか。土つちを小高こだかく盛もった墓はか。; むら。村落そんらく。	常 4級
丹	丶	タン	[外] あか・に・まごころ	あか。赤あかい色いろ。; に。赤あかい色いろをした鉱物こうぶつ。; まごころ。精気せいき。	常 4級
乏	丿	ボウ [外] ホウ	とぼ.しい	とぼしい。貧まずしい。足たりない。; 疲つかれる。力ちからを使つかい果はたしている。例れい：疲乏ひぼう	常 3級
乙	乙	オツ [外] イツ	[外] おと・きのと	十干じっかんの二番にばん目め。きのと。五行ごぎょうでは木き。方位ほういでは東ひがし。; 順位じゅんいの二番にばん目め。第だい二位にい。; つばめ。例れい：乙鳥いつちょう; 邦楽ほうがくで、甲こうよりも一段いちだん低ひくい音おと。; 幼おさない。若わかい。; しゃれているさま。気きがきいているさま。	常 3級
乾	乙	カン [外] ケン	かわ.かす・かわ.く [外] いぬい・ひ・ほ.す	かわく。かわかす。ほす。水分すいぶんがなくなる。水分すいぶんをなくす。; うわべの。表面ひょうめん上じょうの。; 易えき（エキ）の卦け。八卦はっけの一ひとつ。天てん・天子てんし・君主くんしゅ・男性だんせいなどの象徴しょうちょう。また、六十四卦ろくじゅうしけの一ひとつ。; つよい。すこやか。剛健ごうけん。; いぬい。北西ほくせいの方位ほうい。	常 4級
了	亅	リョウ	[外] お.わる・さと.る・しま.う	おわる。おえる。済すむ。物事ものごとの始末しまつがつく。; さとる。よくわかる。はっきりとわかる。; まったく。少すこしも。さっぱり。	常 3級
互	二	ゴ	たが.い [外] かたみ.に	たがい。たがいに。; かたみ。かたみに。かわるがわる。; 入いりまじる。くいちがい入いり乱みだれる。; いけにえの獣肉けものにくをさげる棚たな。	常 4級
介	人	カイ	[外] すけ・たす.ける	たすける。; はさまる。間あいだにはいる。仲立なかだちする。; へだてる。わける。; よろい。よろいを身みにつける。; ひとり。孤立こりつする。; 大おおきい。大おおきくする。; 際きわ。ほとり。; 甲羅こうら。または、甲羅こうらのある動物どうぶつ。; すけ。四等官しとうかんで、国司こくしの第二位だいにい。	常 4級
仰	人	ギョウ・コウ [外] ゴウ	あお.ぐ・おお.せ [外] あおの.く・おっしゃ.る・の.く	あおぐ。見上みあげる。顔かおを上あげて上うえを見みる。; おおせ。命令めいれい。いいつけ。身分みぶんが高たかい人ひとの言葉ことば。; のく。あおのく。あおむく。あおむけになる。; あがめる。うやまう。信仰しんこうする。; おっしゃる。「言いう」の尊敬そんけい語ご。	常 4級
企	人	キ	くわだ.てる [外] たくら.む	くわだてる。たくらむ。たくらみ。計画けいかくをたてる。; つまだつ。つまだてる。つま先さきで立たつ。; まちのぞむ。待まちこがれる。	常 3級
伏	人	フク [外] ブク	ふ.す・ふ.せる [外] かく.れる・したが.う	ふす。ふせる。うつむく。うつぶせになる。; ふす。ふせる。かくれる。身みを隠かくす。待まちぶせする。; したがう。ひれふす。服従ふくじゅうする。; 陰暦いんれき六月ろくがつの節ふしの名前なまえ。猛暑もうしょの時期じき。三伏さんぷく（さんぷく）。初伏しょふく（しょふく）・中伏ちゅうふく（ちゅうふく）・末伏まっぷく（まっぷく）の総称そうしょう。	常 3級
伐	人	バツ [外] ハツ	[外] う.つ・き.る・ほこ.る	うつ。敵てきを討うつ。敵てきを殺ころす。攻せめる。; うつ。楽器がっきをたたいてならす。; きる。木きを切きる。木きを切きり倒たおす。; ほこる。自慢じまんする。手柄てがらをひけらかす。; いさお。手柄てがら。功績こうせき。	常 3級
伴	人	ハン・バン	ともな.う [外] とも	ともなう。連つれ立だつ。一緒いっしょに行いく。; とも。行動こうどうをともにする人ひと。仲間なかま。	常 3級
伸	人	シン	の.ばす・の.びる・の.べる [外] の.す・の.る	のばす。のびる。真まっ直すぐにする。長ながくする。; 述のべる。申もうす。; 無実むじつの罪つみの疑うたがいを晴はらす。例れい：伸冤しんえん（しんえん）; のす。のばし広ひろげる。勢力せいりょくなどが拡大かくだいする。; のる。背せのび。体からだを長ながくのばす。	常 3級
伺	人	シ	うかが.う	うかがう。様子ようすをさぐる。のぞき見みる。; 待まつ。機会きかいをうかがい待まつ。; たずねる。訪問ほうもんする。	常 4級
佳	人	カ	[外] よ.い	よい。美うつくしい。立派りっぱ。すぐれている。すばらしい。	常 3級
